A1,VCC_BATT,B1,HPA05_CC_P,C1,GND,D1,VCCO_HPA
A2,GND,B2,HPA05_CC_N,C2,GND,D2,VCCO_HPA
A3,HPA06_P,B3,GND,C3,HPA00_CC_P,D3,GND
A4,HPA06_N,B4,HPA04_P,C4,HPA00_CC_N,D4,HPA02_P
A5,GND,B5,HPA04_N,C5,GND,D5,HPA02_N
A6,HPA_CLK0_P,B6,GND,C6,HPA03_P,D6,GND
A7,HPA_CLK0_N,B7,HPA07_P,C7,HPA03_N,D7,HPA01_P
A8,GND,B8,HPA07_N,C8,GND,D8,HPA01_N
A9,HPA12_P,B9,GND,C9,HPA08_P,D9,GND
A10,HPA12_N,B10,HPA11_P,C10,HPA08_N,D10,HPA09_P
A11,GND,B11,HPA11_N,C11,GND,D11,HPA09_N
A12,HPA13_P,B12,GND,C12,HPA10_CC_P,D12,GND
A13,HPA13_N,B13,VCCO_HDA,C13,HPA10_CC_N,D13,HPA14_P
A14,GND,B14,VCCO_HDA,C14,GND,D14,HPA14_N
A15,HDA09,B15,GND,C15,PS_POR_L,D15,GND
A16,HDA10,B16,HDA03,C16,PS_SRST_C2M_L,D16,HDA00_CC
A17,HDA11,B17,HDA04,C17,GND,D17,HDA01
A18,GND,B18,HDA05,C18,HDA06,D18,HDA02
A19,VCCOEN_PS_M2C,B19,GND,C19,HDA07,D19,GND
A20,VCCOEN_PL_M2C,B20,HDA15,C20,HDA08_CC,D20,HDA12
A21,GND,B21,HDA16_CC,C21,GND,D21,HDA13
A22,JTAG_TMS_C2M,B22,HDA17,C22,HDA18,D22,HDA14
A23,JTAG_TDO_M2C,B23,GND,C23,HDA19,D23,GND
A24,JTAG_TDI_C2M,B24,PS_ERROR_OUT_M2C,C24,HDA20,D24,PWRGD_FPD_M2C
A25,JTAG_TCK_C2M,B25,PS_ERROR_STATUS_M2C,C25,GND,D25,PWRGD_LPD_M2C
A26,GND,B26,PWROFF_C2M_L,C26,MIO24_I2C_SCK,D26,PWRGD_PL_M2C
A27,MODE0_C2M,B27,GND,C27,MIO25_I2C_SDA,D27,GND
A28,MODE1_C2M,B28,MIO35_WD_OUT,C28,MIO12_FWUEN_C2M_L,D28,MIO26
A29,MODE2_C2M,B29,MIO36,C29,GND,D29,MIO27
A30,MODE3_C2M,B30,MIO37,C30,MIO29,D30,MIO28
A31,Reserved,B31,GND,C31,MIO30,D31,GND
A32,Reserved,B32,MIO38,C32,MIO31_SHUTDOWN,D32,MIO44
A33,GND,B33,MIO39,C33,GND,D33,MIO45
A34,MIO41,B34,MIO40,C34,MIO47,D34,MIO46
A35,MIO42,B35,GND,C35,MIO48,D35,GND
A36,MIO43,B36,MIO50,C36,MIO49,D36,MIO52
A37,GND,B37,MIO51,C37,GND,D37,MIO53
A38,MIO61,B38,Reserved,C38,MIO55,D38,MIO54
A39,MIO62,B39,GND,C39,MIO56,D39,GND
A40,MIO63,B40,MIO58,C40,MIO57,D40,MIO64
A41,GND,B41,MIO59,C41,GND,D41,MIO65
A42,MIO73,B42,MIO60,C42,MIO67,D42,MIO66
A43,MIO74,B43,GND,C43,MIO68,D43,GND
A44,MIO75,B44,MIO70,C44,MIO69,D44,MIO76
A45,GND,B45,MIO71,C45,Reserved,D45,MIO77
A46,GND,B46,MIO72,C46,GND,D46,Reserved
A47,GTR_DP1_M2C_P,B47,GND,C47,GTR_REFCLK0_C2M_P,D47,GND
A48,GTR_DP1_M2C_N,B48,GND,C48,GTR_REFCLK0_C2M_N,D48,GND
A49,GND,B49,GTR_REFCLK1_C2M_P,C49,GND,D49,GTR_DP3_C2M_P
A50,GND,B50,GTR_REFCLK1_C2M_N,C50,GND,D50,GTR_DP3_C2M_N
A51,GTR_REFCLK3_C2M_P,B51,GND,C51,GTR_DP3_M2C_P,D51,GND
A52,GTR_REFCLK3_C2M_N,B52,GND,C52,GTR_DP3_M2C_N,D52,GND
A53,GND,B53,GTR_DP2_C2M_P,C53,GND,D53,GTR_REFCLK2_C2M_P
A54,GND,B54,GTR_DP2_C2M_N,C54,GND,D54,GTR_REFCLK2_C2M_N
A55,GTR_DP0_C2M_P,B55,GND,C55,GTR_DP1_C2M_P,D55,GND
A56,GTR_DP0_C2M_N,B56,GND,C56,GTR_DP1_C2M_N,D56,GND
A57,GND,B57,GTR_DP0_M2C_P,C57,GND,D57,GTR_DP2_M2C_P
A58,GND,B58,GTR_DP0_M2C_N,C58,GND,D58,GTR_DP2_M2C_N
A59,VCC_SOM,B59,GND,C59,VCC_SOM,D59,GND
A60,VCC_SOM,B60,VCC_SOM,C60,VCC_SOM,D60,VCC_SOM
A,,B,,C,,D,
A1,GND,B1,GTH_DP2_C2M_P,C1,GND,D1,GTH_DP1_C2M_P
A2,GND,B2,GTH_DP2_C2M_N,C2,GND,D2,GTH_DP1_C2M_N
A3,GTH_DP3_M2C_P,B3,GND,C3,GTH_REFCLK0_C2M_P,D3,GND
A4,GTH_DP3_2C_N,B4,GND,C4,GTH_REFCLK0_C2M_N,D4,GND
A5,GND,B5,GTH_DP2_M2C_P,C5,GND,D5,GTH_DP3_C2M_P
A6,GND,B6,GTH_DP2_M2C_N,C6,GND,D6,GTH_DP3_C2M_N
A7,GTH_REFCLK1_C2M_P,B7,GND,C7,GTH_DP1_M2C_P,D7,GND
A8,GTH_REFCLK1_C2M_N,B8,GND,C8,GTH_DP1_M2C_N,D8,GND
A9,GND,B9,GTH_DP0_C2M_P,C9,GND,D9,GTH_DP0_M2C_P
A10,GND,B10,GTH_DP0_C2M_N,C10,GND,D10,GTH_DP0_M2C_N
A11,HPB15_CC_P,B11,GND,C11,HPB09_P,D11,GND
A12,HPB15_CC_N,B12,HPB10_CC_P,C12,HPB09_N,D12,HPB01_P
A13,GND,B13,HPB10_CC_N,C13,GND,D13,HPB01_N
A14,HPB08_P,B14,GND,C14,HPB14_P,D14,GND
A15,HPB08_N,B15,HPB07_P,C15,HPB14_N,D15,HPB00_CC_P
A16,GND,B16,HPB07_N,C16,GND,D16,HPB00_CC_N
A17,HPB12_P,B17,GND,C17,HPB02_P,D17,GND
A18,HPB12_N,B18,HPB05_CC_P,C18,HPB02_N,D18,HPB_CLK0_P
A19,GND,B19,HPB05_CC_N,C19,GND,D19,HPB_CLK0_N
A20,HPB06_P,B20,GND,C20,HPB13_P,D20,GND
A21,HPB06_N,B21,HPB11_P,C21,HPB13_N,D21,HPB04_P
A22,GND,B22,HPB11_N,C22,GND,D22,HPB04_N
A23,HPB16_P,B23,GND,C23,HPB_18_P,D23,GND
A24,HPB16_N,B24,HPB03_P,C24,HPB_18_N,D24,HPB17_P
A25,GND,B25,HPB03_N,C25,GND,D25,HPB17_N
A26,HPB_19_P,B26,GND,C26,HPC17_P,D26,GND
A27,HPB_19_N,B27,HPC06_P,C27,HPC17_N,D27,HPC09_P
A28,GND,B28,HPC06_N,C28,GND,D28,HPC09_N
A29,HPC08_P,B29,GND,C29,HPC10_CC_P,D29,GND
A30,HPC08_N,B30,HPC13_P,C30,HPC10_CC_N,D30,HPC01_P
A31,GND,B31,HPC13_N,C31,GND,D31,HPC01_N
A32,HPC19_P,B32,GND,C32,HPC11_P,D32,GND
A33,HPC19_N,B33,HPC16_P,C33,HPC11_N,D33,HPC00_CC_P
A34,GND,B34,HPC16_N,C34,GND,D34,HPC00_CC_N
A35,HPC14_P,B35,GND,C35,HPC12_P,D35,GND
A36,HPC14_N,B36,HPC07_P,C36,HPC12_N,D36,HPC02_P
A37,GND,B37,HPC07_N,C37,GND,D37,HPC02_N
A38,HPC15_CC_P,B38,GND,C38,HPC05_CC_P,D38,GND
A39,HPC15_CC_N,B39,HPC18_P,C39,HPC05_CC_N,D39,HPC04_P
A40,GND,B40,HPC18_N,C40,GND,D40,HPC04_N
A41,HPC03_P,B41,GND,C41,HPC_CLK0_P,D41,GND
A42,HPC03_N,B42,VCCO_HPB,C42,HPC_CLK0_N,D42,VCCO_HPC
A43,GND,B43,GND,C43,GND,D43,GND
A44,VCCO_HPB,B44,HDB12,C44,VCCO_HPC,D44,HDB00_CC
A45,GND,B45,HDB13,C45,GND,D45,HDB01
A46,HDB18,B46,HDB14,C46,HDB06,D46,HDB02
A47,HDB19,B47,GND,C47,HDB07,D47,GND
A48,HDB20,B48,HDB15,C48,HDB08_CC,D48,HDB03
A49,GND,B49,HDB16_CC,C49,GND,D49,HDB04
A50,HDB21,B50,HDB17,C50,HDB09,D50,HDB05
A51,HDB22,B51,GND,C51,HDB10,D51,GND
A52,HDB23,B52,HDC12,C52,HDB11,D52,HDC00_CC
A53,GND,B53,HDC13,C53,GND,D53,HDC01
A54,HDC18,B54,HDC14,C54,HDC06,D54,HDC02
A55,HDC19,B55,GND,C55,HDC07,D55,GND
A56,HDC20,B56,HDC15,C56,HDC08_CC,D56,HDC03
A57,GND,B57,HDC16_CC,C57,GND,D57,HDC04
A58,HDC21,B58,HDC17,C58,HDC09,D58,HDC05
A59,HDC22,B59,VCCO_HDB,C59,HDC10,D59,VCCO_HDC
A60,HDC23,B60,VCCO_HDB,C60,HDC11,D60,VCCO_HDC
